#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AarSvc_42879cc0","System.ServiceProcess.ServiceController[]","False","False","False","Agent Activation Runtime_42879cc0","System.ServiceProcess.ServiceController[]",".","AarSvc_42879cc0","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"AdobeARMservice","System.ServiceProcess.ServiceController[]","False","False","True","Adobe Acrobat Update Service","System.ServiceProcess.ServiceController[]",".","AdobeARMservice","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AESMService","System.ServiceProcess.ServiceController[]","False","False","True","Intel? SGX AESM","System.ServiceProcess.ServiceController[]",".","AESMService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","True","True","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"aspnet_state","System.ServiceProcess.ServiceController[]","False","False","False","ASP.NET State Service","System.ServiceProcess.ServiceController[]",".","aspnet_state","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager Service","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"aswbIDSAgent","System.ServiceProcess.ServiceController[]","False","True","False","aswbIDSAgent","System.ServiceProcess.ServiceController[]",".","aswbIDSAgent","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"autotimesvc","System.ServiceProcess.ServiceController[]","False","False","False","Cellular Time","System.ServiceProcess.ServiceController[]",".","autotimesvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"avast! Antivirus","System.ServiceProcess.ServiceController[]","False","True","False","Avast Antivirus","System.ServiceProcess.ServiceController[]",".","avast! Antivirus","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"avast! Firewall","System.ServiceProcess.ServiceController[]","False","True","True","Avast Firewall Service","System.ServiceProcess.ServiceController[]",".","avast! Firewall","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"AvastWscReporter","System.ServiceProcess.ServiceController[]","False","True","False","AvastWscReporter","System.ServiceProcess.ServiceController[]",".","AvastWscReporter","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BcastDVRUserService_42879cc0","System.ServiceProcess.ServiceController[]","False","False","False","GameDVR and Broadcast User Service_42879cc0","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_42879cc0","System.ServiceProcess.ServiceController[]",,"Stopped","240","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine",,".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"BluetoothUserService_42879cc0","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth User Support Service_42879cc0","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_42879cc0","System.ServiceProcess.ServiceController[]",,"Running","240","Manual",,
"brave","System.ServiceProcess.ServiceController[]","False","False","False","Brave Update Service (brave)","System.ServiceProcess.ServiceController[]",".","brave","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Automatic",,
"bravem","System.ServiceProcess.ServiceController[]","False","False","False","Brave Update Service (bravem)","System.ServiceProcess.ServiceController[]",".","bravem","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
