"Story","Title","Result","Date","Stability","Duration (s)"
"Create student data driven test","Data Driven test for Adding multpile Student","SUCCESS","2018-08-12T16:52:08.376-06:00","0.0","4.33"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T16:52:43.003-06:00","0.0","2.67"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-12T16:52:17.947-06:00","0.0","2.25"
"First serenity test","Get all student","SUCCESS","2018-08-12T16:52:14.792-06:00","0.0","3.15"
"First serenity test","Is this manul test","PENDING","2018-08-12T16:52:12.565-06:00","0.0","2.23"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T16:52:32.798-06:00","0.0","6.62"
"First serenity test","This is a skipped test","IGNORED","2018-08-12T16:52:20.204-06:00","0.0","2.43"
"First serenity test","This is failing test","FAILURE","2018-08-12T16:52:25.139-06:00","0.0","2.49"
"First serenity test","This pending test","PENDING","2018-08-12T16:52:27.630-06:00","0.0","2.28"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T16:52:30.202-06:00","0.0","2.59"
"First serenity test","This test cause error","ERROR","2018-08-12T16:52:22.637-06:00","0.0","2.48"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T16:52:39.435-06:00","0.0","3.57"
