"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T00:03:39.647-06:00","0.0","3.04"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-12T00:02:35.647-06:00","0.0","2.09"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-12T00:03:08.056-06:00","0.0","2.67"
"Serenity id info","Get all student","SUCCESS","2018-08-12T00:02:32.551-06:00","0.0","3.09"
"First serenity test","Get all student","SUCCESS","2018-08-12T00:03:04.240-06:00","0.0","3.81"
"Serenity id info","Is this manul test","PENDING","2018-08-12T00:01:52.333-06:00","0.0","8.65"
"First serenity test","Is this manul test","PENDING","2018-08-12T00:03:01.977-06:00","0.0","2.26"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T00:03:27.075-06:00","0.0","8.03"
"Serenity id info","This is a skipped test","IGNORED","2018-08-12T00:02:37.855-06:00","0.0","2.34"
"First serenity test","This is a skipped test","IGNORED","2018-08-12T00:03:10.726-06:00","0.0","2.88"
"Serenity id info","This is failing test","FAILURE","2018-08-12T00:02:42.189-06:00","0.0","2.39"
"First serenity test","This is failing test","FAILURE","2018-08-12T00:03:16.087-06:00","0.0","2.88"
"Serenity id info","This pending test","PENDING","2018-08-12T00:02:44.608-06:00","0.0","1.93"
"First serenity test","This pending test","PENDING","2018-08-12T00:03:18.967-06:00","0.0","2.29"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T00:03:21.678-06:00","0.0","5.4"
"Serenity id info","This test cause error","ERROR","2018-08-12T00:02:40.207-06:00","0.0","1.96"
"First serenity test","This test cause error","ERROR","2018-08-12T00:03:13.612-06:00","0.0","2.45"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-12T00:02:01.086-06:00","0.0","31.46"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T00:03:35.115-06:00","0.0","4.53"
