"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-11T23:00:12.559-06:00","0.0","3.6"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-11T22:59:41.236-06:00","0.0","2.75"
"First serenity test","Get all student","SUCCESS","2018-08-11T22:59:38.138-06:00","0.0","3.1"
"First serenity test","Is this manul test","PENDING","2018-08-11T22:59:35.239-06:00","0.0","2.9"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-11T23:00:01.979-06:00","0.0","7.97"
"First serenity test","This is a skipped test","IGNORED","2018-08-11T22:59:43.990-06:00","0.0","2.47"
"First serenity test","This is failing test","FAILURE","2018-08-11T22:59:49.171-06:00","0.0","3.11"
"First serenity test","This pending test","PENDING","2018-08-11T22:59:52.281-06:00","0.0","2.66"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-11T22:59:55.302-06:00","0.0","6.67"
"First serenity test","This test cause error","ERROR","2018-08-11T22:59:46.462-06:00","0.0","2.7"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-11T23:00:09.956-06:00","0.0","2.6"
