"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T00:03:39.647-06:00","0.0","3.04"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-12T00:03:08.056-06:00","0.0","2.67"
"First serenity test","Get all student","SUCCESS","2018-08-12T00:03:04.240-06:00","0.0","3.81"
"First serenity test","Is this manul test","PENDING","2018-08-12T00:03:01.977-06:00","0.0","2.26"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T00:03:27.075-06:00","0.0","8.03"
"First serenity test","This is a skipped test","IGNORED","2018-08-12T00:03:10.726-06:00","0.0","2.88"
"First serenity test","This is failing test","FAILURE","2018-08-12T00:03:16.087-06:00","0.0","2.88"
"First serenity test","This pending test","PENDING","2018-08-12T00:03:18.967-06:00","0.0","2.29"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T00:03:21.678-06:00","0.0","5.4"
"First serenity test","This test cause error","ERROR","2018-08-12T00:03:13.612-06:00","0.0","2.45"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T00:03:35.115-06:00","0.0","4.53"
