"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity id info","Filedoesnot exist","COMPROMISED","2018-08-11T20:20:59.863-06:00","0.0","2.3"
"First serenity test","Filedoesnot exist","COMPROMISED","2018-08-11T20:21:25.629-06:00","0.0","1.67"
"Serenity id info","Get all student","SUCCESS","2018-08-11T20:20:56.957-06:00","0.0","2.9"
"First serenity test","Get all student","SUCCESS","2018-08-11T20:21:23.795-06:00","0.0","1.83"
"Serenity id info","Is this manul test","PENDING","2018-08-11T20:20:25.604-06:00","0.0","6.47"
"First serenity test","Is this manul test","PENDING","2018-08-11T20:21:22.192-06:00","0.0","1.6"
"Serenity id info","This is a skipped test","IGNORED","2018-08-11T20:21:02.248-06:00","0.0","1.67"
"First serenity test","This is a skipped test","IGNORED","2018-08-11T20:21:27.306-06:00","0.0","2.58"
"Serenity id info","This is failing test","FAILURE","2018-08-11T20:21:06.137-06:00","0.0","2.33"
"First serenity test","This is failing test","FAILURE","2018-08-11T20:21:31.542-06:00","0.0","1.76"
"Serenity id info","This pending test","PENDING","2018-08-11T20:21:08.482-06:00","0.0","1.8"
"First serenity test","This pending test","PENDING","2018-08-11T20:21:33.303-06:00","0.0","1.42"
"Serenity id info","This test cause error","ERROR","2018-08-11T20:21:03.928-06:00","0.0","2.18"
"First serenity test","This test cause error","ERROR","2018-08-11T20:21:29.893-06:00","0.0","1.64"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-11T20:20:32.111-06:00","0.0","24.84"
